product_id;parent_id;sku;name;stock_now;sold_period;avg_daily;needed_for_cover;order_qty;stock_cover_days;status
211348370;0;770161;B.O.348/01 - Pieluszki - MUŚLINOWE - (3 szt.)- szary- TAKE CARE;3;0;0,000;0;0;;OK
211348383;0;5908607;B.O.348/10 - Pieluszki - MUŚLINOWE - super miękkie;1;0;0,000;0;0;;OK
211348395;0;776831;B.O.397/04 -Naturalne pieluszki - z włókien BAMBUSA organicznego - (miętowe) TAKE CARE;2;0;0,000;0;0;;OK
211348401;0;5905223;B.O.397/08  - Naturalne pieluszki - z włókien bambusa - NATURAL BAMBOO;0;0;0,000;0;0;;OK
211348409;0;5908612;B.O.397/12 - Naturalne pieluszki - z włókien bambusa - NATURAL BAMBOO;2;0;0,000;0;0;;OK
211347552;211347537;616;B.O.500 - Jednorazowe Majtki poporodowe - 5 szt. - XL;2;0;0,000;0;0;;OK
211348416;211348413;1739;B.O.503  - Wielorazowe majtki - SIATECZKOWE -  2 szt. - M;5;0;0,000;0;0;;OK
211348427;211348413;615;B.O.503  - Wielorazowe majtki - SIATECZKOWE -  2 szt. - XL;5;0;0,000;0;0;;OK
211348432;211348413;887;B.O.503  - Wielorazowe majtki - SIATECZKOWE -  2 szt. - XXL;5;0;0,000;0;0;;OK
211347382;0;779794;B.O.568/03 - Szczotka i grzebień do włosów - Naturalne super miękkie włosie - (SZARA) TAKE CARE;2;0;0,000;0;0;;OK
481559344;0;779795;B.O.568/04 - Szczotka i grzebień do włosów - Naturalne super miękkie włosie - (RÓŻOWA ) TAKE CARE;2;0;0,000;0;0;;OK
555150605;488370474;5901435415320;B.O.585/11 - Biustonosz do karmienia -  biały - B75-80;1;0;0,000;0;0;;OK
555150606;488370474;5901435415153;B.O.585/11 - Biustonosz do karmienia -  biały - D70-75;1;0;0,000;0;0;;OK
211347566;211347557;5906729;B.O.585/30 - Biustonosz do karmienia - NEUTRALNY - C 75-80;1;0;0,000;0;0;;OK
211347572;211347557;5906745;B.O.585/30 - Biustonosz do karmienia - NEUTRALNY - C 80-85;1;0;0,000;0;0;;OK
211347576;211347557;5906732;B.O.585/30 - Biustonosz do karmienia - NEUTRALNY - D 70-75;0;0;0,000;0;0;;OK
211347582;211347557;5906731;B.O.585/30 - Biustonosz do karmienia - NEUTRALNY - E 80-85;1;0;0,000;0;0;;OK
211347587;211347557;5906739;B.O.585/30 - Biustonosz do karmienia - NEUTRALNY - F 80-85;1;0;0,000;0;0;;OK
211348436;0;783183;B.O.597 - Podkłady poporodowe  COMFORT - (10 szt.);5;0;0,000;0;0;;OK
441386672;0;773984;B.O.777/03 - Termometr do wody - TAKE CARE - różowy;0;0;0,000;0;0;;OK
211347601;211347591;782577-M;B.O.823 - Silikonowe osłonki na piersi NATURAL NURSING - M;2;0;0,000;0;0;;OK
211347597;211347591;782577-S;B.O.823 - Silikonowe osłonki na piersi NATURAL NURSING - S;1;0;0,000;0;0;;OK
211347466;0;2649;BAMBINO 83660 - Chusteczki dla niemowląt  FOLIA - (63szt.);0;0;0,000;0;0;;OK
211347320;0;BAM000006;BAMBOOLOVE - Chusteczki nawilżane - Bambusowe - (60 szt.);2;0;0,000;0;0;;OK
211347217;0;BAM000002;BAMBOOLOVE - PIELUSZKI JEDNORAZOWE - Rozmiar M - (24 szt.) - (6-11kg);3;0;0,000;0;0;;OK
211347389;0;21355;BELLA HAPPY - Patyczki papierowe higieniczne - (64 szt.);0;0;0,000;0;0;;OK
211347330;0;BE0007;BELLA HAPPY 0 BEFORE NEWBORN -  Pieluszki dla wcześniaków  do 2 kg - (46 szt.);2;0;0,000;0;0;;OK
211347333;0;BJN000053;BIAŁY JELEŃ hipoalergiczna emulsja do HIGIENY INTYMNEJ KOZIE MLEKO 265ml;3;0;0,000;0;0;;OK
484634708;0;160336;BIBS  Supreme (160336) - Smoczek uspokajający - (SILIKON) - (0+) - Vanilla /Dark Oak - 2 szt;2;0;0,000;0;0;;OK
484633285;0;1001000231;BIBS (1001000231) - Smoczek anatomiczny - (kauczuk) - (0+) - BABY BLUE - 1 szt;4;0;0,000;0;0;;OK
484635243;0;50171216;BIBS (50171216) - BUTELKA - (SILIKON) - ŚREDNI PRZEPŁYW - (270 ML) - KOŚĆ SŁONIOWA;1;0;0,000;0;0;;OK
481609518;0;1001000216;BIBS - Smoczek anatomiczny - (kauczuk) - (0+) - IVORY - 1 szt;10;0;0,000;0;0;;OK
484645874;0;2101000267;BIBS BOHEME(2101000267) - Smoczek uspokajający (kauczuk) - (0+) - FIOLET - 1 szt;1;0;0,000;0;0;;OK
561043739;561042031;BIBS-LIBERTY-ROZ-1;BIBS LIBERTY - Smoczek uspokajający - (2-pak) -  latex - Różowy - 1 (0m+);0;0;0,000;0;0;;OK
561045943;561042031;BIBS-LIBERTY-ROZ-2;BIBS LIBERTY - Smoczek uspokajający - (2-pak) -  latex - Różowy - 2 (6m+);0;0;0,000;0;0;;OK
561045947;561042031;BIBS-LIBERTY-ROZ-3;BIBS LIBERTY - Smoczek uspokajający - (2-pak) -  latex - Różowy - 3 (18m+);0;0;0,000;0;0;;OK
561107697;561102178;BIBS-STUDIO-BABYBLUE-DUSTYBLUE-1;BIBS STUDIO - Smoczek uspokajający - (2-pak) - latex - baby blue / dusty blue - 1 (0m+);0;0;0,000;0;0;;OK
561107699;561102178;BIBS-STUDIO-BABYBLUE-DUSTYBLUE-2;BIBS STUDIO - Smoczek uspokajający - (2-pak) - latex - baby blue / dusty blue - 2 (6m+);0;0;0,000;0;0;;OK
590505163;0;5910165;BabyOno 1575 Termometr elektroniczny bezdotykowy;0;0;0,000;0;0;;OK
590505168;0;5914274;BabyOno 1901 Termometr elektroniczny z elastyczną końcówką DMT-4336;0;0;0,000;0;0;;OK
211348465;211348457;BRA.4160.DARK_GREY.L.01;Biustonosz sportowy do karmienia DOCTOR NAP - L;1;0;0,000;0;0;;OK
211348462;211348457;BRA.4160.DARK_GREY.M.01;Biustonosz sportowy do karmienia DOCTOR NAP - M;0;0;0,000;0;0;;OK
211348459;211348457;BRA.4160.DARK_GREY.S.01;Biustonosz sportowy do karmienia DOCTOR NAP - S;2;0;0,000;0;0;;OK
211348467;211348457;BRA.4160.DARK_GREY.XL.01;Biustonosz sportowy do karmienia DOCTOR NAP - XL;1;0;0,000;0;0;;OK
211347223;0;BOC000123;Bocioland - PODKŁAD JENORAZOWY - 60X90cm - (10szt);1;0;0,000;0;0;;OK
211347392;0;5903649;CANPOL 0310 - Zestaw startowy - BUTELKA 120ML+SMOCZEK -  (mini GIRL) mix;0;0;0,000;0;0;;OK
