url,handle,status,changed,title,error
https://mamapack.pl/products/b-o-1450-butelka-180ml-natural-nursing,b-o-1450-butelka-180ml-natural-nursing,200,False,b.o.1450 - Butelka antykolkowa – mamapack,
https://mamapack.pl/products/b-o-1451-butelka-260-ml-natural-nursing,b-o-1451-butelka-260-ml-natural-nursing,200,False,b.o.1451 - Butelka antykolkowa – mamapack,
https://mamapack.pl/products/b-o-1479-02-kocyk-dzianiny-bambusowy-szary,b-o-1479-02-kocyk-dzianiny-bambusowy-szary,200,False,"b.o.1647/(1,2,3) - Kocyk bawełniany - Dzianinynowy – mamapack",
https://mamapack.pl/products/b-o-1553-01-okrycie-kapielowe-bambusowe-z-kapturkiem-100x100cm-rozowe,b-o-1553-01-okrycie-kapielowe-bambusowe-z-kapturkiem-100x100cm-rozowe,200,False,b.o.1553 - Okrycie kąpielowe z kapturkiem – mamapack,
https://mamapack.pl/products/b-o-1576-edukacyjna-mata-piankowa-xpe-150x200cm,b-o-1576-edukacyjna-mata-piankowa-xpe-150x200cm,200,False,B.O. 1576 - Edukacyjna mata piankowa Xpe - (150x200cm) – mamapack,
https://mamapack.pl/products/b-o-1670-01-smoczek-anatomiczny-silikon-swiecacy-0m-2-szt-braz-bez,b-o-1670-01-smoczek-anatomiczny-silikon-swiecacy-0m-2-szt-braz-bez,200,False,B.O. 1670/01 - Smoczek – mamapack,
https://mamapack.pl/products/b-o-297-01-wkladki-laktacyjne-night-day-40-szt,b-o-297-01-wkladki-laktacyjne-night-day-40-szt,200,False,b.o.297/01 - Wkładki laktacyjne Night & Day - 40 szt – mamapack,
https://mamapack.pl/products/b-o-298-01-wkladki-laktacyjne-natural-nursing-24-szt-biale,b-o-298-01-wkladki-laktacyjne-natural-nursing-24-szt-biale,200,False,b.o.298/01 - Wkładki laktacyjne Natural Nursing – mamapack,
https://mamapack.pl/products/b-o-348-01-pieluszki-muslinowe-3-szt-szary-take-care,b-o-348-01-pieluszki-muslinowe-3-szt-szary-take-care,200,False,b.o.348/01 - Pieluszki – mamapack,
https://mamapack.pl/products/b-o-348-07-pieluszki-muslinowe-super-miekkie,b-o-348-07-pieluszki-muslinowe-super-miekkie,200,False,b.o.348/07 - Pieluszki - Muślinowe - super miękkie – mamapack,
https://mamapack.pl/products/b-o-348-08-pieluszki-muslinowe-super-miekkie,b-o-348-08-pieluszki-muslinowe-super-miekkie,200,False,b.o.348/08- Pieluszki - Muślinowe - super miękkie – mamapack,
https://mamapack.pl/products/b-o-348-10-pieluszki-muslinowe-super-miekkie,b-o-348-10-pieluszki-muslinowe-super-miekkie,200,False,b.o.348/10 - Pieluszki - Muślinowe - super miękkie – mamapack,
https://mamapack.pl/products/b-o-348-11-pieluszki-muslinowe-super-miekkie,b-o-348-11-pieluszki-muslinowe-super-miekkie,200,False,b.o.348/11 - Pieluszki - Muślinowe - super miękkie – mamapack,
https://mamapack.pl/products/b-o-348-12-pieluszki-muslinowe-super-miekkie,b-o-348-12-pieluszki-muslinowe-super-miekkie,200,False,b.o.348/12 - Pieluszki - Muślinowe - super miękkie – mamapack,
https://mamapack.pl/products/b-o-397-04-naturalne-pieluszki-z-wlokien-bambusa-organicznego-mietowe-take-care,b-o-397-04-naturalne-pieluszki-z-wlokien-bambusa-organicznego-mietowe-take-care,200,False,b.o.397/04 -Naturalne pieluszki - z włókien Bambusa – mamapack,
https://mamapack.pl/products/b-o-397-09-naturalne-pieluszki-z-wlokien-bambusa-natural-bamboo,b-o-397-09-naturalne-pieluszki-z-wlokien-bambusa-natural-bamboo,200,False,b.o.397/09 - Naturalne pieluszki – mamapack,
https://mamapack.pl/products/b-o-397-12-naturalne-pieluszki-z-wlokien-bambusa-natural-bamboo,b-o-397-12-naturalne-pieluszki-z-wlokien-bambusa-natural-bamboo,200,False,b.o.397/12 - Naturalne pieluszki – mamapack,
https://mamapack.pl/products/b-o-398-03-zestaw-do-pielegnacji-paznokci-dla-dzieci-i-niemowlat-szary-take-care,b-o-398-03-zestaw-do-pielegnacji-paznokci-dla-dzieci-i-niemowlat-szary-take-care,200,False,b.o.398/03 - Zestaw do pielęgnacji paznokci – mamapack,
https://mamapack.pl/products/b-o-500-xl-jednorazowe-majtki-poporodowe-xl,b-o-500-xl-jednorazowe-majtki-poporodowe-xl,200,False,b.o.500 - Jednorazowe Majtki poporodowe - 5 szt – mamapack,
https://mamapack.pl/products/b-o-503-xxl-wielorazowe-majtki-siateczkowe-xxl-2sz,b-o-503-xxl-wielorazowe-majtki-siateczkowe-xxl-2sz,200,False,b.o.503 - Wielorazowe majtki - Siateczkowe - 2 szt – mamapack,
https://mamapack.pl/products/b-o-509-podklad-do-przewijania-60x90-10-szt,b-o-509-podklad-do-przewijania-60x90-10-szt,200,False,b.o.509 - Podkład do przewijania 60x90cm - 10 szt – mamapack,
https://mamapack.pl/products/b-o-513-podklad-do-przewijania-40x60-10szt,b-o-513-podklad-do-przewijania-40x60-10szt,200,False,b.o.513 - Podkład do przewijania 40x60cm - 10 szt – mamapack,
https://mamapack.pl/products/b-o-568-03-szczotka-i-grzebien-do-wlosow-naturalne-super-miekkie-wlosie-szara-take-care,b-o-568-03-szczotka-i-grzebien-do-wlosow-naturalne-super-miekkie-wlosie-szara-take-care,200,False,b.o.568/03 - Szczotka i grzebień do włosów – mamapack,
https://mamapack.pl/products/b-o-568-04-szczotka-i-grzebien-do-wlosow-naturalne-super-miekkie-wlosie-rozowa-take-care,b-o-568-04-szczotka-i-grzebien-do-wlosow-naturalne-super-miekkie-wlosie-rozowa-take-care,200,False,b.o.568/04 - Szczotka i grzebień do włosów – mamapack,
https://mamapack.pl/products/b-o-585-11-biustonosz-do-karmienia-d70-75-bialy,b-o-585-11-biustonosz-do-karmienia-d70-75-bialy,200,False,b.o.585/11 - Biustonosz do karmienia - Biały – mamapack,
https://mamapack.pl/products/b-o-585-30-biustonosz-do-karmienia-b75-80-neutralny,b-o-585-30-biustonosz-do-karmienia-b75-80-neutralny,200,False,b.o.585/30 - Biustonosz do karmienia - Neutralny – mamapack,
https://mamapack.pl/products/b-o-597-podklady-poporodowe-comfort,b-o-597-podklady-poporodowe-comfort,200,False,b.o.597 - Podkłady poporodowe Comfort - 10 szt – mamapack,
https://mamapack.pl/products/b-o-599-podklady-poporodowe-night-day,b-o-599-podklady-poporodowe-night-day,200,False,b.o.599 - Podkłady poporodowe Night & Day - 10 szt – mamapack,
https://mamapack.pl/products/b-o-721-03-szczotka-do-butelek-i-smoczkow-z-mini-szczoteczka-szara,b-o-721-03-szczotka-do-butelek-i-smoczkow-z-mini-szczoteczka-szara,200,False,b.o.721/03 - Szczotka do butelek i smoczków – mamapack,
https://mamapack.pl/products/b-o-777-03-termometr-do-wody-take-care-niebieski,b-o-777-03-termometr-do-wody-take-care-niebieski,200,False,b.o.777/03 - Termometr do wody - Take Care - niebieski – mamapack,
https://mamapack.pl/products/b-o-777-03-termometr-do-wody-take-care-rozowy,b-o-777-03-termometr-do-wody-take-care-rozowy,200,False,b.o.777/03 - Termometr do wody - Take Care - różowy – mamapack,
