handle,legacyResourceId,skus,barcodes,product_title,old_seo_title,new_seo_title,returned_seo_title
canpol-34-920-smoczek-silikonowy-0-m-symetryczny-exotic-koala,10485662679373,5901691870130,,CANPOL 34/920 - Smoczek silikonowy - (0+m) - SYMETRYCZNY - EXOTIC Koala,,Canpol 34/920 smoczek Exotic Koala 0-6m,Canpol 34/920 smoczek Exotic Koala 0-6m
canpol-34-920-smoczek-silikonowy-symetryczny-0-6m-panda,10336386154829,5902814,,CANPOL 34/920 - Smoczek silikonowy - SYMETRYCZNY - (0-6m) - Panda,Canpol 34/920 smoczek Panda 0-6m,Canpol 34/920 smoczek Panda 0-6m,Canpol 34/920 smoczek Panda 0-6m
canpol-35-2423-butelka-antykolkowa-easystart-mountains-green-120ml-240ml,10578272649549,"5901691888005, 5901691888029",", ",CANPOL 35/242(3) - BUTELKA antykolkowa - EasyStart MOUNTAINS - GREEN - (120ml / 240ml),Canpol EasyStart Mountains Green butelka 120/240 ml,Canpol EasyStart Mountains Green butelka 120/240 ml,Canpol EasyStart Mountains Green butelka 120/240 ml
canpol-35-243-butelka-antykolkowa-240-ml-beige-3m,10556145303885,"5901691887992, 5901691888012",", ",CANPOL 35/242(3) - BUTELKA antykolkowa - EasyStart MOUNTAINS BEIGE - (120ml / 240ml),Canpol EasyStart Mountains Beige butelka 120/240 ml,Canpol EasyStart Mountains Beige butelka 120/240 ml,Canpol EasyStart Mountains Beige butelka 120/240 ml
canpol-78-026-jednorazowe-splukiwalne-nakladki-na-toalete-10-szt-copy,10646557327693,5903407367279,5903407367279,Canpol 78/025 - Jednorazowe RĘCZNIKI – ZESTAW 2 szt.  - (140×70 cm + 70×30 cm),Canpol 78/025 ręczniki jednorazowe 2 szt.,Canpol 78/025 ręczniki jednorazowe 2 szt.,Canpol 78/025 ręczniki jednorazowe 2 szt.
jednorazowe-nakladki-na-toalete-biodegradowalne-podkladki-6-szt-copy,10646532718925,5903407367286,5903407367286,Canpol 78/026 - Jednorazowe spłukiwalne nakładki na toaletę - (10 szt. ),Canpol 78/026 nakładki na toaletę 10 szt.,Canpol 78/026 nakładki na toaletę 10 szt.,Canpol 78/026 nakładki na toaletę 10 szt.
jednorazowe-nakladki-na-toalete-biodegradowalne-podkladki-8-szt,9916753576269,5902704992603,,Jednorazowe nakładki na toaletę -  Biodegradowalne podkładki - (6 szt.),,Intervion nakładki na toaletę biodegradowalne 6 szt.,Intervion nakładki na toaletę biodegradowalne 6 szt.
kompletny-md,10523329921357,PREM-MD-1,,Torba do szpitala dla MAMY i NOWORODKA – gotowa wyprawka PREMIUM,Torba do szpitala mama i noworodek - Premium,Torba do szpitala mama i noworodek - Premium,Torba do szpitala mama i noworodek - Premium
torba-do-szpitala-mamy-noworodka-gotowa-wyprawka-kompletna,10523326054733,KOM-MD-1,,Torba do szpitala dla DLA MAMY I NOWORODKA – gotowa wyprawka KOMPLETNA,Torba do szpitala mama i noworodek - Kompletna,Torba do szpitala mama i noworodek - Kompletna,Torba do szpitala mama i noworodek - Kompletna
torba-do-szpitala-mamy-noworodka-gotowa-wyprawka-podstawowa,10519344120141,POD-MD-1,,Torba do szpitala dla MAMY i NOWORODKA – gotowa wyprawka PODSTAWOWA,Torba do szpitala mama i noworodek - Podstawowa,Torba do szpitala mama i noworodek - Podstawowa,Torba do szpitala mama i noworodek - Podstawowa
torba-do-szpitala-mamy-noworodka-gotowa-wyprawka-rozszerzona,10558848336205,ROZ-MD-1,,Torba do szpitala dla DLA MAMY I NOWORODKA – gotowa wyprawka ROZSZERZONA,,Torba do szpitala mama i noworodek - Rozszerzona,Torba do szpitala mama i noworodek - Rozszerzona
pikowana-torba-do-szpitala-z-niedzwiedziem,9870172815693,TORBA05-L,,PIKOWANA TORBA do szpitala z NIEDŹWIEDZIEM -  Rozmiar: L,Pikowana torba do szpitala z niedźwiedziem L,Pikowana torba do szpitala z niedźwiedziem L,Pikowana torba do szpitala z niedźwiedziem L
pikowana-torba-do-szpitala-z-niedzwiedziem-rozmiar-m,10550671442253,TORBA05-M,,PIKOWANA TORBA do szpitala z NIEDŹWIEDZIEM - Rozmiar: M,Pikowana torba do szpitala z niedźwiedziem M,Pikowana torba do szpitala z niedźwiedziem M,Pikowana torba do szpitala z niedźwiedziem M
rozek-niemowlecy-standard-75x75-cm-miminu-design-kotki-bawelna-100,9984490242381,5911186,,Rożek niemowlęcy - standard 75x75 cm - (MIMINU DESIGN Kotki ) - bawełna 100%,,Rożek niemowlęcy 75x75 MIMINU Kotki,Rożek niemowlęcy 75x75 MIMINU Kotki
rozek-niemowlecy-standard-75x75-cm-miminu-design-little-ballerina-bawelna-100,9984493814093,5911326,,"Rożek niemowlęcy - standard 75x75 cm - (MIMINU DESIGN, little ballerina) - bawełna 100%",,Rożek niemowlęcy 75x75 Little Ballerina,Rożek niemowlęcy 75x75 Little Ballerina
rozek-niemowlecy-standard-75x75-cm-miminu-design-misie-blekit-bawelna-100,9984487653709,5911201,,Rożek niemowlęcy - standard 75x75 cm -(MIMINU DESIGN Misie błękit) - bawełna 100%,,Rożek niemowlęcy 75x75 Misie błękit,Rożek niemowlęcy 75x75 Misie błękit
rozek-niemowlecy-standard-80x80-cm-becik-otulacz-dwustronny-bawelna,10389331476813,ROZ2190,,Rożek niemowlęcy - standard 80x80 cm - BECIK OTULACZ DWUSTRONNY - bawełna,Rożek niemowlęcy 80x80 dwustronny bawełna,Rożek niemowlęcy 80x80 dwustronny bawełna,Rożek niemowlęcy 80x80 dwustronny bawełna
rozek-niemowlecy-standard-80x80-cm-na-rzep-bawelna-100-dla-chlopca,10199906484557,RZCH8080,,Rożek niemowlęcy - standard 80x80 cm - (na rzep) - bawełna 100%- DLA CHŁOPCA,Rożek niemowlęcy 80x80 na rzep dla chłopca,Rożek niemowlęcy 80x80 na rzep dla chłopca,Rożek niemowlęcy 80x80 na rzep dla chłopca
rozek-niemowlecy-standard-80x80-cm-na-rzep-bawelna-100-dla-dziewczynki,10199904846157,RZDG8080,,Rożek niemowlęcy - standard 80x80 cm - (na rzep) - bawełna 100%- DLA DZIEWCZYNKI,,Rożek niemowlęcy 80x80 na rzep dla dziewczynki,Rożek niemowlęcy 80x80 na rzep dla dziewczynki
rozek-niemowlecy-standard-80x80-cm-na-rzep-bawelna-100-szary-w-gwiazdki,10199908843853,ROZEK8080,,Rożek niemowlęcy - standard 80x80 cm - (na rzep) - bawełna 100% - SZARY W GWIAZDKI,,Rożek niemowlęcy 80x80 szary w gwiazdki,Rożek niemowlęcy 80x80 szary w gwiazdki
skarb-matki-pomadka-ochronna-dla-dzieci-o-smaku-kokosa-i-wanilii,9756450160973,001341,,"SKARB MATKI - Pomadka Ochronna - dla dzieci o smaku kokosa i wanilii - 6,5g","Skarb Matki pomadka kokos i wanilia 6,5 g","Skarb Matki pomadka kokos i wanilia 6,5 g","Skarb Matki pomadka kokos i wanilia 6,5 g"
skarb-matki-pomadka-ochronna-dla-dzieci-smak-malinowy,9756450193741,SM0021,,"SKARB MATKI - Pomadka Ochronna - dla dzieci o smaku malinowym - 6,5g","Skarb Matki pomadka malinowa 6,5 g","Skarb Matki pomadka malinowa 6,5 g","Skarb Matki pomadka malinowa 6,5 g"
