legacy_id,title,old_handle,new_handle,seo_title_updated,seo_description_updated,handle_updated,redirect_created,success,error
9916787491149,Pieluszka tetrowa wielorazowa  - BIAŁA  - (40x80 cm) - 1 szt.,pieluszka-wielorazowa-ega-ch-622-biala-1-szt,pieluszka-wielorazowa-ega-ch-622-biala-1-szt,True,True,False,False,True,
9916816064845,Ziajka - krem do pielęgnacji dzieci i niemowląt,ziajka-krem-do-pielegnacji-dzieci-i-niemowlat,ziajka-krem-do-pielegnacji-dzieci-i-niemowlat,True,True,False,False,True,
9916819013965,Ziaja - Płyn do kąpieli dla dzieci i niemowląt natłuszczający,ziaja-plyn-do-kapieli-dla-dzieci-i-niemowlat-natluszczajacy,ziaja-plyn-do-kapieli-dla-dzieci-i-niemowlat-natluszczajacy,True,True,False,False,True,
9916822782285,Ziajka - maść na pośladki przeciw odparzeniom - 50 ml,ziajka-masc-na-posladki-przeciw-odparzeniom-50-ml,ziajka-masc-na-posladki-przeciw-odparzeniom-50-ml,True,True,False,False,True,
9916827631949,Ziaja - antyperspirant,ziaja-antyperspirant,ziaja-antyperspirant,True,True,False,False,True,
9916836577613,Ziaja - Płyn do higieny intymnej - Mamma Mia - 300 ml,ziaja-plyn-do-higieny-intymnej-mamma-mia-300-ml,ziaja-plyn-do-higieny-intymnej-mamma-mia-300-ml,True,True,False,False,True,
9942448079181,Bobini Baby - Żel do mycia ciała i włosów dla niemowląt - 2w1 - (300ml),szampon-i-zel-do-kapieli-2w1-bebble-200ml,szampon-i-zel-do-kapieli-2w1-bebble-200ml,True,True,False,False,True,
9984439648589,BELLA chusteczki do higieny intymnej SENSITIV - 10 szt,bella-chusteczki-do-higieny-intymnej-sensitiv-10-szt,bella-chusteczki-do-higieny-intymnej-sensitiv-10-szt,True,True,False,False,True,
9984447742285,Luba Tuli - chusteczki nawilżane dla dzieci - z aloesem-  (60 szt.),luba-tuli-chusteczki-nawilzane-dla-dzieci-z-aloesem-60-szt,luba-tuli-chusteczki-nawilzane-dla-dzieci-z-aloesem-60-szt,True,True,False,False,True,
9984478249293,AKUKU A0003 - Płatki kosmetyczne dla niemowląt - ( 0m+ ) - 60szt.,akuku-a0003-platki-kosmetyczne-dla-niemowlat-0m-60szt,akuku-a0003-platki-kosmetyczne-dla-niemowlat-0m-60szt,True,True,False,False,True,
9984483131725,AKUKU A0040 - ZESTAW DO MANICURE,akuku-a0040-zestaw-do-manicure,akuku-a0040-zestaw-do-manicure,True,True,False,False,True,
9984487653709,Rożek niemowlęcy - standard 75x75 cm -(MIMINU DESIGN Misie błękit) - bawełna 100%,rozek-niemowlecy-standard-75x75-cm-miminu-design-misie-blekit-bawelna-100,rozek-niemowlecy-standard-75x75-cm-miminu-design-misie-blekit-bawelna-100,True,True,False,False,True,
9984490242381,Rożek niemowlęcy - standard 75x75 cm - (MIMINU DESIGN Kotki ) - bawełna 100%,rozek-niemowlecy-standard-75x75-cm-miminu-design-kotki-bawelna-100,rozek-niemowlecy-standard-75x75-cm-miminu-design-kotki-bawelna-100,True,True,False,False,True,
9984493814093,"Rożek niemowlęcy - standard 75x75 cm - (MIMINU DESIGN, little ballerina) - bawełna 100%",rozek-niemowlecy-standard-75x75-cm-miminu-design-little-ballerina-bawelna-100,rozek-niemowlecy-standard-75x75-cm-miminu-design-little-ballerina-bawelna-100,True,True,False,False,True,
9984495878477,CANPOL 22/580 - SMOCZEK  - silikon orthodontic- SYMETRYCZNY -( 0m+) - beżowy,canpol-22-565-smoczek-anatomiczny-silikon-orthodontic-0m-bezowy,canpol-22-565-smoczek-anatomiczny-silikon-orthodontic-0m-bezowy,True,True,False,False,True,
9984497156429,Akuku A0394 - Termometr pływający do kąpieli - Żyrafa,akuku-a0394-termometr-plywajacy-do-kapieli-zyrafa,akuku-a0394-termometr-plywajacy-do-kapieli-zyrafa,True,True,False,False,True,
9984498565453,AKUKU A1231 - Okrycie kąpielowe -( 80x80 cm) - 100% bawełna - ecru,akuku-a1231-okrycie-kapielowe-80x80-cm-100-bawelna-ecru,akuku-a1231-okrycie-kapielowe-80x80-cm-100-bawelna-ecru,True,True,False,False,True,
9984514523469,FARA - Pielucha FLANELOWA   - JEDNOKOLOROWA - (70x80cm),pielucha-flanela-70x80-jednokolorowa,pielucha-flanela-70x80-jednokolorowa,True,True,False,False,True,
9984526778701,Pieluszka tetrowa - BIAŁA -  (70X80) - 1 szt.,fara-pieluszka-tetrowa-70x80-biala,fara-pieluszka-tetrowa-70x80-biala,True,True,False,False,True,
9984539656525,Pieluszka tetrowa - DRUK - (70X80) - mix kolorów,fara-pielucha-tetra-druk-70x80-mix-kolorow,fara-pielucha-tetra-druk-70x80-mix-kolorow,True,True,False,False,True,
9987114434893,Nakładka sedesowa jednorazowa - 1 szt.,nakladka-sedesowa-jednorazowa-1-szt,nakladka-sedesowa-jednorazowa-1-szt,True,True,False,False,True,
10007582900557,Teczka na dokumenty -  rozmiar A4 - (mix kolorów),teczka-na-dokumenty-rozmiar-a4-mix-kolorow,teczka-na-dokumenty-rozmiar-a4-mix-kolorow,True,True,False,False,True,
10057629303117,TORBA WYPRAWKA DLA NOWORODKA/MAMY DO SZPITALA -podstawowa różowa,torba-wyprawka-dla-noworodkamamy-do-szpitala-podstawowa-rozowa,torba-wyprawka-dla-noworodkamamy-do-szpitala-podstawowa-rozowa,True,True,False,False,True,
10058404856141,TORBA WYPRAWKA DLA NOWORODKA/MAMY DO SZPITALA + RĘCZNIK – błękitna,torba-wyprawka-dla-noworodkamamy-do-szpitala-recznik-blekitna,torba-wyprawka-dla-noworodkamamy-do-szpitala-recznik-blekitna,True,True,False,False,True,
10058404954445,TORBA WYPRAWKA DLA NOWORODKA/MAMY DO SZPITALA + RĘCZNIK – różowa,torba-wyprawka-dla-noworodkamamy-do-szpitala-recznik-rozowa,torba-wyprawka-dla-noworodkamamy-do-szpitala-recznik-rozowa,True,True,False,False,True,
10058405118285,TORBA WYPRAWKA DLA NOWORODKA/MAMY DO SZPITALA -podstawowa błękitna,torba-wyprawka-dla-noworodkamamy-do-szpitala-podstawowa-blekitna,torba-wyprawka-dla-noworodkamamy-do-szpitala-podstawowa-blekitna,True,True,False,False,True,
10133099741517,CANPOL 22/562 - SMOCZEK  - silikon orthodontic- OKRĄGŁY -( 0m+)  -Niebieski,canpol-22-580-smoczek-uspokajajacy-silikonowy-symetryczny-okragly-0-6m-nawborn-niebieski,canpol-22-580-smoczek-uspokajajacy-silikonowy-symetryczny-okragly-0-6m-nawborn-niebieski,True,True,False,False,True,
